t=2025-09-17T21:28:13-0500 lvl=info msg="no configuration paths supplied"
t=2025-09-17T21:28:13-0500 lvl=info msg="using configuration at default config path" path="/Users/sagarrudagi/Library/Application Support/ngrok/ngrok.yml"
t=2025-09-17T21:28:13-0500 lvl=info msg="open config file" path="/Users/sagarrudagi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-09-17T21:31:59-0500 lvl=info msg="join connections" obj=join id=eb98d70e9953 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:31:59-0500 lvl=info msg="join connections" obj=join id=c153ea0ab782 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=0fcc775cde66 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58350
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=ae372ff25968 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=cb2c5ad33577 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=ffacbf1572ae l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=e917e2c4a602 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:00-0500 lvl=info msg="join connections" obj=join id=aca6d66ec26c l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:32:01-0500 lvl=info msg="join connections" obj=join id=3dc8947981c1 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:5467:4f5d:89b5:50c3]:58348
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=1c5322d0a3ca l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=b1068da430e1 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=4652f398d1b3 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=6abd32c9c360 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=f2269c8dd609 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=b1960fd00ae9 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=1aaa5b65396f l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=62b8c8f07413 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=cd2bdc6b4bb6 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:40-0500 lvl=info msg="join connections" obj=join id=1d0e5dc50a9c l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:41-0500 lvl=info msg="join connections" obj=join id=bb304dab5a9f l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:53892
t=2025-09-17T21:33:41-0500 lvl=info msg="join connections" obj=join id=a21711717bc4 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:41-0500 lvl=info msg="join connections" obj=join id=d16e1e101be4 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:41-0500 lvl=info msg="join connections" obj=join id=2b4a63b680e6 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:42-0500 lvl=info msg="join connections" obj=join id=1939264c8eb4 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:33:42-0500 lvl=info msg="join connections" obj=join id=83e2cb296954 l=127.0.0.1:8501 r=[2600:8800:1702:4800:e78c:1a46:843a:506b]:58646
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=0a6401a3c2cb l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=a8a611a91973 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=4c7ad92e5ae5 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=0631962839b5 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=9b01e96a0481 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=dc2a03ff9707 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=ffd714e1d7de l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=5fc7080b78a6 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=e328777ce9ab l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:07-0500 lvl=info msg="join connections" obj=join id=94fca5a2eba4 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:08-0500 lvl=info msg="join connections" obj=join id=5fc54498241d l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53171
t=2025-09-17T21:36:09-0500 lvl=info msg="join connections" obj=join id=83d86331d32a l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:09-0500 lvl=info msg="join connections" obj=join id=d6696374ec67 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:09-0500 lvl=info msg="join connections" obj=join id=f1f4de6ef1a7 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:09-0500 lvl=info msg="join connections" obj=join id=362b4b3b1578 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53148
t=2025-09-17T21:36:19-0500 lvl=info msg="join connections" obj=join id=52d992b981fe l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53174
t=2025-09-17T21:36:19-0500 lvl=info msg="join connections" obj=join id=2976df0b5f36 l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53175
t=2025-09-17T21:38:21-0500 lvl=info msg="join connections" obj=join id=54bf839cae6c l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53208
t=2025-09-17T21:38:21-0500 lvl=info msg="join connections" obj=join id=d7c447e38ace l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53209
t=2025-09-17T21:39:01-0500 lvl=info msg="join connections" obj=join id=dd94e04d525f l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53212
t=2025-09-17T21:39:01-0500 lvl=info msg="join connections" obj=join id=e83c9cb4f42d l=127.0.0.1:8501 r=[2607:fb90:4562:1f86:383e:3d22:ff04:c366]:53213
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=0baa4082ea15 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=d1393e6ad9da l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=da789dfba085 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=0ded38aaccc0 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=bd56f367c924 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=2a0deb4e06ba l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=e7c12d8b7b42 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=597189f911da l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=3be53676d8e0 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:41-0500 lvl=info msg="join connections" obj=join id=a2613a6b9824 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:42-0500 lvl=info msg="join connections" obj=join id=bd509df710ef l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46088
t=2025-09-17T21:41:42-0500 lvl=info msg="join connections" obj=join id=2ab24bc6111a l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:42-0500 lvl=info msg="join connections" obj=join id=e9dd88a7bf70 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:43-0500 lvl=info msg="join connections" obj=join id=c98a987a0513 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:43-0500 lvl=info msg="join connections" obj=join id=15cc1eb846af l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:46080
t=2025-09-17T21:41:49-0500 lvl=info msg="join connections" obj=join id=d824b3305666 l=127.0.0.1:8501 r=[2600:1700:e61:7020:e4c4:237b:dac9:5f3]:40694
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=7a2ddc240a7b l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=c85843361dca l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=f4c87218aeb8 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=e266b68456a2 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=031ed9d79f2b l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=efde2966a724 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=c57a460f219f l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=8f5c20c11c5c l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=0cbb6d5a8c47 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:15-0500 lvl=info msg="join connections" obj=join id=0d3b9a878e29 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:16-0500 lvl=info msg="join connections" obj=join id=d52d50e15254 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63500
t=2025-09-17T21:55:16-0500 lvl=info msg="join connections" obj=join id=6be0cccf1fce l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:17-0500 lvl=info msg="join connections" obj=join id=908005eba6ce l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:17-0500 lvl=info msg="join connections" obj=join id=fb68ce96e1ea l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:17-0500 lvl=info msg="join connections" obj=join id=8aefebeb6319 l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:17-0500 lvl=info msg="join connections" obj=join id=05b36cebf5de l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:17-0500 lvl=info msg="join connections" obj=join id=0c5ca61a671e l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63491
t=2025-09-17T21:55:57-0500 lvl=info msg="join connections" obj=join id=020e4644e09b l=127.0.0.1:8501 r=[2600:8800:1ea1:6500:b1e6:5bd0:c8ff:d999]:63503
